Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,90,RL,74,9010,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,5,1960,1960,Hip,CompShg,BrkFace,BrkFace,,0,TA,TA,CBlock,TA,Fa,No,Unf,0,Unf,0,1660,1660,GasA,TA,Y,SBrkr,1730,0,0,1730,0,0,2,0,4,2,TA,8,Typ,0,,,,,0,0,,,Y,0,0,0,0,0,0,,,,0,9,2006,WD ,Normal,145000
2,20,RL,67,6990,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,9,1982,2008,Gable,CompShg,VinylSd,VinylSd,,0,Gd,Gd,CBlock,TA,TA,No,ALQ,700,Unf,0,200,900,GasA,Ex,Y,SBrkr,940,0,0,940,0,1,1,0,3,1,Gd,5,Typ,1,Ex,Attchd,1982,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,10,2008,WD ,Normal,157000
3,20,RL,,8830,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1959,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,Slab,,,,,0,,0,0,0,GasA,TA,Y,SBrkr,1010,0,0,1010,0,0,1,0,3,1,TA,5,Typ,0,,Attchd,1959,RFn,1,294,TA,TA,Y,0,0,0,0,0,0,,MnPrv,Shed,1200,7,2007,WD ,Normal,132000
4,20,RL,,10570,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,340,TA,TA,CBlock,TA,TA,Mn,BLQ,250,Unf,0,920,1170,GasA,Gd,Y,SBrkr,1220,0,0,1220,0,0,1,0,3,1,TA,6,Typ,0,,Attchd,1967,RFn,1,270,TA,TA,Y,0,90,0,0,0,0,,MnPrv,,0,3,2008,WD ,Normal,146000
5,50,RM,60,6350,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,8,1940,2006,Gable,CompShg,VinylSd,VinylSd,,0,TA,TA,CBlock,Fa,TA,No,Unf,0,Unf,0,780,780,GasA,Gd,Y,SBrkr,880,420,0,1300,0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1940,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2008,WD ,Normal,146000
6,80,RL,97,20800,Pave,,IR1,Lvl,AllPub,FR2,Gtl,Crawfor,Norm,Norm,1Fam,SLvl,7,6,1994,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,44,TA,TA,PConc,Gd,TA,No,GLQ,380,Unf,0,100,480,GasA,Ex,Y,SBrkr,1030,880,0,1910,1,0,2,1,3,1,Gd,6,Typ,0,,BuiltIn,1994,RFn,2,473,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2010,WD ,Normal,235000
7,20,RL,60,10750,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1956,1994,Gable,CompShg,Wd Sdng,Wd Sdng,,0,TA,TA,CBlock,TA,TA,Av,BLQ,990,Unf,0,240,1230,GasA,Ex,Y,SBrkr,1270,0,0,1270,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1956,Fin,1,353,TA,TA,Y,0,211,180,0,142,0,,,,0,5,2006,WD ,Normal,181000
8,20,RL,71,7880,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,,0,TA,TA,CBlock,Gd,TA,No,BLQ,200,Unf,0,990,1190,GasW,TA,Y,SBrkr,1230,0,0,1230,1,0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1954,RFn,1,252,TA,TA,P,328,0,0,0,0,0,,MnPrv,,0,9,2009,WD ,Normal,151000
9,160,RL,28,2410,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,,0,TA,TA,CBlock,Gd,TA,No,ALQ,350,Unf,0,590,940,GasA,Fa,Y,SBrkr,980,710,0,1690,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1978,Unf,2,440,TA,TA,Y,26,0,0,0,0,0,,,,0,7,2010,WD ,Normal,174000
10,50,RL,,11910,Pave,,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,4,5,1957,1989,Gable,CompShg,Wd Sdng,Wd Sdng,,0,TA,TA,CBlock,TA,TA,Av,Unf,0,Unf,0,1190,1190,GasA,Ex,Y,FuseA,1250,800,0,2050,1,0,1,0,5,1,TA,8,Min2,2,TA,Attchd,1957,Unf,1,304,TA,TA,Y,120,0,0,0,0,0,,,,0,11,2009,WD ,Normal,190000
